scheme,function,npoints,CFL,do-time,itavgtime,extime,writetime,L1,L2,LINF,L1_m,L2_m,LINF_m
lax,exp,6400,0.50, 5.80173000E-01, 2.41738750E-04, 7.23589000E-01, 1.40676000E-01, 1.52520600E+01, 9.11072075E-01, 1.00034392E-01, 8.49456650E+00, 5.20329823E-01, 5.82972265E-02
mcc,exp,200,0.50, 1.97100000E-03, 2.59342105E-05, 9.13300000E-03, 6.43600000E-03, 1.61334370E+00, 4.42667689E-01, 1.96808773E-01, 9.92700912E-01, 3.07772213E-01, 1.53974450E-01
mcc,exp,800,0.50, 2.30610000E-02, 7.68700000E-05, 4.09170000E-02, 1.71360000E-02, 6.93543145E-01, 1.24615796E-01, 3.66285349E-02, 3.52039104E-01, 6.33658253E-02, 1.84825542E-02
mcc,exp,1600,0.50, 8.27830000E-02, 1.37971667E-04, 1.16745000E-01, 3.30040000E-02, 3.54295069E-01, 4.53094819E-02, 9.27603101E-03, 1.77321830E-01, 2.26963508E-02, 4.60678463E-03
mcc,exp,6400,0.50, 1.29994900E+00, 5.41645417E-04, 1.50197200E+00, 1.98293000E-01, 8.87247019E-02, 5.68207459E-03, 5.72658264E-04, 4.43610741E-02, 2.84110403E-03, 2.86167869E-04
lax,sgn,200,0.10, 4.55300000E-03, 1.21090426E-05, 1.02190000E-02, 4.90400000E-03, 1.54029778E+01, 2.12731292E+00, 5.07144114E-01, 1.09031088E+01, 1.79191100E+00, 5.09077365E-01
lax,sgn,6400,0.10, 2.75739300E+00, 2.29782750E-04, 2.94415200E+00, 1.84714000E-01, 8.69641089E+01, 5.04684174E+00, 4.96904179E-01, 6.14915673E+01, 4.24376724E+00, 4.95136694E-01
lax,sgn,200,1.00, 1.63300000E-03, 4.08250000E-05, 1.85670000E-02, 1.55900000E-02, 1.64483019E+00, 7.86200002E-01, 5.88326954E-01, 1.22730887E+00, 7.29678436E-01, 5.58220563E-01
lax,sgn,6400,1.00, 2.79857000E-01, 2.32439369E-04, 4.11763000E-01, 1.29980000E-01, 1.67270742E+00, 6.75691368E-01, 3.46116381E-01, 1.11511289E+00, 5.30012812E-01, 2.72928636E-01
mcc,sgn,200,0.10, 1.20730000E-02, 3.21090426E-05, 1.93540000E-02, 6.61500000E-03, 4.12606887E+00, 9.52821975E-01, 5.43200104E-01, 3.39309537E+00, 9.57109101E-01, 6.39280283E-01
mcc,sgn,6400,0.10, 6.07210200E+00, 5.06008500E-04, 6.21983200E+00, 1.45800000E-01, 1.64174740E+01, 1.87390480E+00, 6.52446581E-01, 1.24804515E+01, 1.65150370E+00, 6.43549610E-01
mcc,sgn,200,1.00, 9.43000000E-04, 2.35750000E-05, 6.67200000E-03, 5.07800000E-03, 7.55126865E-01, 3.94508032E-01, 2.63229870E-01, 7.97146568E-01, 5.91761056E-01, 5.62109550E-01
mcc,sgn,6400,1.00, 6.19061000E-01, 5.14170266E-04, 7.51845000E-01, 1.30903000E-01, 5.72971904E-01, 3.90545085E-01, 3.74612424E-01, 3.68310520E-01, 2.43692628E-01, 2.29477545E-01
lax,exp,200,0.10, 8.47000000E-03, 2.25265957E-05, 1.91670000E-02, 9.75600000E-03, 3.58373810E+00, 8.06816860E-01, 4.51804269E-01, 3.32816436E+00, 7.74436992E-01, 4.34191232E-01
lax,exp,6400,0.10, 2.76825500E+00, 2.30687917E-04, 2.93995000E+00, 1.65806000E-01, 5.06878792E+01, 2.63636049E+00, 2.69698339E-01, 3.52091584E+01, 1.94810331E+00, 2.04175902E-01
lax,exp,200,1.00, 6.53000000E-04, 1.63250000E-05, 8.98000000E-03, 7.59900000E-03, 8.50512974E-01, 2.75861762E-01, 1.62349519E-01, 5.01560355E-01, 1.76237412E-01, 1.10247660E-01
lax,exp,6400,1.00, 2.89899000E-01, 2.40779900E-04, 4.41056000E-01, 1.48721000E-01, 5.29210337E-02, 3.34344559E-03, 3.85514036E-04, 2.64704408E-02, 1.67252882E-03, 1.92865306E-04
mcc,exp,200,0.10, 8.11000000E-03, 2.15691489E-05, 1.35530000E-02, 4.79200000E-03, 2.42258089E+00, 5.72781356E-01, 2.46652182E-01, 1.46880100E+00, 4.17375522E-01, 2.07645404E-01
mcc,exp,6400,0.10, 6.20510500E+00, 5.17092083E-04, 6.33989800E+00, 1.31850000E-01, 1.17108344E-01, 7.49993496E-03, 7.56180242E-04, 5.85569549E-02, 3.75000104E-03, 3.77773943E-04
mcc,exp,200,1.00, 1.37400000E-03, 3.43500000E-05, 6.88600000E-03, 4.88300000E-03, 1.19010631E-01, 4.10128387E-02, 2.34277971E-02, 5.63481138E-02, 2.08627419E-02, 1.13786701E-02
mcc,exp,6400,1.00, 6.33281000E-01, 5.25980897E-04, 7.69138000E-01, 1.33520000E-01, 1.23274443E-04, 7.89447158E-06, 7.94649123E-07, 6.16357478E-05, 3.94723547E-06, 3.97333320E-07
